16	4.25332e-06	7.10839e-06	5.82058e-06	7.57686e-06
196	0.000122057	0.000144459	0.000132727	0.000177861
576	0.000306959	0.00036717	0.000380638	0.000479217
1156	0.00124855	0.00132319	0.00140725	0.00146525
1936	0.00228402	0.0023145	0.00243495	0.00243946
2916	0.00534403	0.00518975	0.0051009	0.00497274
2916	0.00799427	0.00730493	0.00739501	0.00730855
5476	0.0190636	0.0153979	0.0180473	0.0171296
7056	0.0328151	0.0249308	0.0287658	0.025443
8836	0.046122	0.0355003	0.0405073	0.0381249
10816	0.0754097	0.0551589	0.0631177	0.0599572
